MINE CODE;MINE NAME;MINE OWNER;POSTAL ADDRESS;TELEPHONE & FAX NUMBER;MAGISTERIAL DISTRICT;PROVINCE;ENTITY & MINING TYPE;COMMODITY;FARM NAMES;;;
15814;420 ORGANIK                                                                   ; WYNAND WILLEM SMIT                                                           ; PO BOX 55285 SUNSET BEACH WESTERN CAPE  7435                                                                                                                           ;082 560 1283                        ;VENTERSDORP;NORTH-WEST;MINE                                                    OPENCAST                                                                                                                                              ;DIAMONDS ALLUVIAL                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;ROOIDRAAI 85 IQ VARIOUS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;;;
15754;A. P. OLIVIER DELWERY                                                         ; ABRAHAM PAULUS OLIVIER                                                       ; PO BOX 175 WOLMARANSSTAD   2630                                                                                                                                        ;083 682 1880                        ;WOLMARANSSTAD;NORTH-WEST;MINE                                                    OPENCAST                                                                                                                                              ;DIAMONDS ALLUVIAL                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;SPIOENKOP 174 HO 1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;;;
15613;AAA MINING CC                                                                 ; KARIBA MINERALS (PTY) LTD                                                    ; PO BOX 1086 SCHWEIZER RENEKE   2780                                                                                                                                    ;(053) 963 1081       087 231 7021   ;PHILIPSTOWN;NORTHERN CAPE;MINE                                                    OPENCAST                                                                                                                                              ;DIAMONDS ALLUVIAL                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;DOOREN KUILEN 62  2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;;;
15307;AAA MINING CC - PROBEERFONTEIN                                                ; DJ DU RAAN                                                                   ; PO BOX 1086 SCHWEIZER-RENEKE   2780                                                                                                                                    ;(053) 963 1081       087 231 7021   ;HOPETOWN;NORTHERN CAPE;MINE                                                    OPENCAST                                                                                                                                              ;DIAMONDS ALLUVIAL                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;PROBEERFONTEIN 7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;;;
15699;ABRAHAM CAREL STRAUSS                                                         ; ABRAHAM CAREL STRAUSS                                                        ; PO BOX 1086 SCHWEIZER RENEKE   2780                                                                                                                                    ;(053) 963 1081       087 231 7021   ;SCHWEIZER - RENEKE;NORTH-WEST;MINE                                                    OPENCAST                                                                                                                                              ;DIAMONDS ALLUVIAL                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;KAMEELKUIL 88 HO 2 RE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;;;
15126;AC STRAUSS                                                                    ; LITTLE ROCK TRADING 6 CC                                                     ; PO BOX 1086 SCHWEIZER-RENEKE   2780                                                                                                                                    ;(053) 963 1081       087 231 7021   ;SCHWEIZER - RENEKE;NORTH-WEST;MINE                                                    OPENCAST                                                                                                                                              ;DIAMONDS ALLUVIAL                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;WILDGOOSELODGE 136 HO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;;;
15208;AC STRAUSS                                                                    ; AC STRAUSS                                                                   ; PO BOX 309 SCHWEIZER RENEKE   2780                                                                                                                                     ;(053) 963 2900       086 732 0711   ;WOLMARANSSTAD;NORTH-WEST;MINE                                                    OPENCAST                                                                                                                                              ;DIAMONDS ALLUVIAL                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;BOSCHPLAATS 138 HO 1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;;;
15301;AC STRAUSS                                                                    ; AC STRAUSS                                                                   ; PO BOX 309 SCHWEIZER-RENEKE   2780                                                                                                                                     ;(053) 963 2900       086 732 0711   ;SCHWEIZER - RENEKE;NORTH-WEST;MINE                                                    OPENCAST                                                                                                                                              ;DIAMONDS ALLUVIAL                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;MIMOSA 61 HO RE OF 22                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;;;
15554;AC STRAUSS                                                                    ; AC STRAUSS                                                                   ; PO BOX 309 SCHWEIZER-RENEKE   2780                                                                                                                                     ;(053) 963 2900       086 732 0711   ;SCHWEIZER - RENEKE;NORTH-WEST;MINE                                                    OPENCAST                                                                                                                                              ;DIAMONDS ALLUVIAL                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;BOSCHPLAATS 138 HO 1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;;;
14461;AC STRAUSS - ZANDFONTEIN                                                      ; PGL BOERDERY (PTY) LTD                                                       ; PO BOX 1086 SCHWEIZER RENEKE   2780                                                                                                                                    ;(053) 963 1081       087 231 7021   ;SCHWEIZER - RENEKE;NORTH-WEST;MINE                                                    OPENCAST                                                                                                                                              ;DIAMONDS ALLUVIAL                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;ZANDFONTEIN 90 HO 4 OF 1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;;;
